pcid,visitedtime,tq,dt
AYa9YVG7bTdTjgDX7XH9h,2:22:12,구찌신발,20180207
JThIxM19KYAu0jCzFvWJN,2:22:12,트루젠,20180207
5ASoDUHHMwMoxTHJisyxE,2:22:13,모바일쿠폰,20180207
ACtgc1I4PKV6xnRMMQgaz,2:22:13,tv,20180207
klV23OqKFjAXxH9PpJnXS,2:22:13,밥상교자상,20180207
AQQI32QOW5GgB4zMnRVS6,2:22:13,무선청소기,20180207
5xTwbaZ77r5lXabJWFQDC,2:22:14,기적의한글쓰기,20180207
6tVOQkFY4mj8NERYgV6w6,2:22:14,511631420,20180207
YVyH0uwXvoTcra77BmhSS,2:22:14,리바트붙박이장,20180207
XsTvHbA9AUQETlUPTldCJ,2:22:14,스팸,20180207
be7FafF4K8GcYK38Zplbu,2:22:14,삼성전자,20180207
BlP88CJY9ZVrNHWR179kW,2:22:14,맥,20180207
KrFcnMnhAFEqyrlICvuwz,2:22:14,코오롱패딩,20180207
bXarelviyx8RXnbTff6BJ,2:22:14,sf3wz17x12,20180207
1.4345E+22,2:22:15,hd9622,20180207
qyrP6AozHEW6gMkvnD7Wx,2:22:15,베리떼쿠션,20180207
1qci71idDMI1ETE8RXYiw,2:22:15,피지오겔,20180207
LikUmQrKnRAjUl4aFeIf5,2:22:15,히트텍내의,20180207
y6810XyCOaKOc4kriYO7Y,2:22:15, ,20180207
S92ML19uI7Kf9F1n2gqqc,2:22:15,호떡누르개,20180207
HhSlX8VkUQmRYZlsph4lk,2:22:16,슈콤마보니슬립온,20180207
FNLQ8eYJUc96OoV1543mH,2:22:16,대림바스,20180207
dWBwruE3g0qtkQ5rUIq8y,2:22:16,종합비타민,20180207
NrrutuerFK1qWbNRiCM8S,2:22:16,운동화,20180207
vE12vSVrUGtYBx4CiLbhO,2:22:17,홍어가격,20180207
g4FIfEmwV0TL5Tpfafvuz,2:22:18,로봇청소기,20180207
1.42406E+22,2:22:18,초콜릿만들기,20180207
4o9kwQLv7Z71uXHclGorG,2:22:18,정관장,20180207
GbpNvXUio96pS5QnY4sTX,2:22:18,해지스핸드폰,20180207
q0HvYJOa2RK90L97wsB74,2:22:18,지프,20180207
7tNRCrLv6ORGRGvRVRpLj,2:22:18,망사스커트,20180207
4wXCTZg7nRC4u1GcdATZV,2:22:17,남자롱패딩,20180207
uSIA7ALUgN9ZrbQ9hMStF,2:22:17,틴트,20180207
vItPeZZWTUhHqa9fDVDLs,2:22:17,24인치 캐리어 커버,20180207
81Ar5F4eUQxs8r9KwGToy,2:22:17,로엠걸즈,20180207
81ntQgFkEnijGMJr3KLxi,2:22:18,파슬,20180207
9GD2JuLR6cIhsOUjrHzcZ,2:22:18,에보니아,20180207
qojgj3NANDENudVE1omM1,2:22:19,우체통,20180207
MnnfDsdyHKwFrVfWo05iz,2:22:19,구스다운여성,20180207
8uXGik1V3pIl688AOz3K6,2:22:19,voluspa,20180207
bIQ6ovmHGz989mJPyWcSb,2:22:19,여성겨울코트,20180207
L0rhsrcQS50jDvvTgutde,2:22:19,실크테라피,20180207
9L4XtikCZKpCuiPHkiLN5,2:22:19,이케아테이블,20180207
zz2WEIlNm0IaAgEa3z5sH,2:22:20,발포가르시니아,20180207
n9bALeOTeJ0M0vp33Uf3M,2:22:20,비비안,20180207
d3q7GiDVBpvIdq8Ep9YVS,2:22:21,풍년압력밥솥,20180207
EmQeGAhmRm7tjgwnoISMw,2:22:21,썬크림,20180207
zYUBUEkUoCBC45uzeTXBn,2:22:21,바세린마스크팩,20180207
pQjCAuLXRdPHytXrsMTnw,2:22:22,몽클레어니트,20180207
Mx7wS0ZmdSAwUGChvwnlW,2:22:23,세탁기,20180207
BCrO5h0QCI06USUJrTzuB,2:22:21,빨래바구니 60,20180207
zK40UUxyNL8l1iIIsnpZZ,2:22:21,캐시미어,20180207
bFEBg7lqJZpuLRe60KBup,2:22:22,cnp톤업프로텍션,20180207
3tSk43VaHhBklwpu3SzVS,2:22:22,카밀리안트 캐리어,20180207
kB5XIkWExPmneahC4y0oz,2:22:22,설화수,20180207
CL5ZY0nIrOkB5ypjtV4RE,2:22:22,데시데코트,20180207
bTtR63dG7lu7WLsCRAqpx,2:22:23,벨벳자켓,20180207
lJhKXLQqxVWJ2ZAZ2Shqf,2:22:23,밸런스쿠션,20180207
0lR26NUeC41v2FyEyju0w,2:22:24,테팔무선청소기,20180207
BEBbmx1EHn79pzU80Y6O5,2:22:24,애니멀퍼레이드,20180207
Of6jakehF5K6GPhtZwcGu,2:22:24,삼성노트북,20180207
OcZoQ1rX26DOcEedc9VI9,2:22:25,라운드자켓,20180207
atR1iq2Rjw34FORyxqovB,2:22:25,페리미츠,20180207
Nrthv5lPOMmLfjmKqg9qc,2:22:25,쿠진아트와플,20180207
Wh3ofcdERZRW59Glq11SD,2:22:25,폴햄경량패딩,20180207
bmXFApYSUWD1pfl1wfFKQ,2:22:25,애벌빨래,20180207
1vhDORbZJzDbVDiTmxhWq,2:22:26,인비오 2400,20180207
m46b1dKf12d9pqGWc14zm,2:22:26,지오다노,20180207
gkkZFSXQV0UqPAqFlRqIO,2:22:26,노스페이스방한화,20180207
ARitaPK9AeRqmkgYUV0QN,2:22:26,탕수육,20180207
ptLg2na8btl1CLKW4rzeX,2:22:26,롱패딩,20180207
kOnVNZTQ06trf8S7LrpTR,2:22:27,편의점기프티콘,20180207
fSeRQjnKk4Gr2F3dRJU40,2:22:27,sekanskeen,20180207
4uaYFI5BbUNl17JDrk9uZ,2:22:28,엘리시움,20180207
Tj2onGrMPLMyMEeprtbQr,2:22:24,아이오페 글로우,20180207
kIFUzWoQJDYgfp7KRMRBA,2:22:24,레노마 가방,20180207
2I7ZP9yAvQhXF7Yv4h2cm,2:22:24,jj지고트,20180207
Z9b5SJ8IkZxS9MS6sFwwS,2:22:24,다운코트여성,20180207
R5NJnhPHIUyUGtzDuxDB5,2:22:24,인조퍼베스트,20180207
fBFoC5RbrWBN5IRJQrhxa,2:22:24,무선청소기,20180207
0pKyEBNUioSUf5n6UBryS,2:22:25,차앤박,20180207
MUA1xnaTrrr4hl28u20Me,2:22:25,골프웨어남성,20180207
6cTjRpEildXmYwBVTP2Zg,2:22:26,온앤온,20180207
1FFZHaR7eenmwWQbz5iar,2:22:26,절전2구,20180207
9zVjJQjkh2BmMs7DzC0eg,2:22:26,팬콧키즈,20180207
aHvJVdYih69DYNEO86VMj,2:22:26,향수,20180207
7Db2HodrivkKB9WfCP0gs,2:22:26,쉬즈홈 지니 순면,20180207
GBnA5ebaNNN5MSxdzfXj8,2:22:27,실리트냄비세트,20180207
2nITvOag3Hui5JkVWZ7h2,2:22:27,쿠첸6인용압력밥솥,20180207
ULDemM0MdlmXWvoFUit5g,2:22:27,바세린마스크,20180207
jMnLWJxxEH1k75VIf2Zdz,2:22:28,체크넥타이,20180207
IwuxVqgQyOjOXi92ind5y,2:22:28,동양매직식기세척기,20180207
UyfsEBE1l8xaQvYgfNOAL,2:22:28,메가박스,20180207
CQGiFdFJaqgXqkfupYEcq,2:22:28,미니수납장,20180207
10zUUx5h27UfSYbnk08X4,2:22:28,락앤락,20180207
UQItySYaBO6ySOw5NOa4q,2:22:28,여름러그,20180207
7bqbloWhYKJdPxtUeTcrt,2:22:28,여성롱부츠,20180207
VyPqvHsfyNQysBtebYXAY,2:22:28,안나수이 팔레트,20180207
iS9eovk4R6iw9hIE0y2zx,2:22:29,욕실시공,20180207
N3lYFTbl3yI2AS3D9Vduh,2:22:30,한삼인,20180207
i6VAQsVuy3xAbUPhWK7dm,2:22:30,스팀청소기,20180207
6Ms9Gw4nnuXryMxExKwWs,2:22:30,밀레,20180207
UYPaaxf8sfxg4eVsXxRU9,2:22:31,페리미츠,20180207
PWp4PTXKM1tDlQjfum0yN,2:22:31,남성가죽점퍼,20180207
nscjO4DcQ9KVm0bNUaOoa,2:22:31,하프클럽,20180207
1qn5AhRaDYH276JYAy1Ij,2:22:31,벽지,20180207
GsyZQ1SMH4I77lw9lOz2o,2:22:31,실라간,20180207
h4eJLD5pdwvl4cwupQNAg,2:22:31,모그캐시미어,20180207
i6VAQsVuy3xAbUPhWK7dm,2:22:32,카쳐,20180207
nxgTFXZNOT1pJzlforzez,2:22:32,좌식싸이클,20180207
MnnfDsdyHKwFrVfWo05iz,2:22:33,헝가리구스다운,20180207
oIMv0Xvg0N3FJg7mfXGkQ,2:22:33,파파야여성,20180207
kh8G2lZAT1sdMoiM3TkqB,2:22:33,리스테린,20180207
DpXx8zs64gDJbmfTjVHPP,2:22:29,남자여름 청바지,20180207
ST7U3SS4KT5KwUQnwaNi8,2:22:31,브라운이어폰,20180207
JNMccP9nvjzu6IPaG4lQW,2:22:31,엘지건조기,20180207
7WfWKL8PAeagvUIESYxfQ,2:22:32,아큐첵엑티브,20180207
TSzC8Ne8FaocJFVKz3uky,2:22:32,고메순살,20180207
yEVkrjZ1iFdnkE3untzBy,2:22:32,올리비안로렌 겨울원피스,20180207
yEVkrjZ1iFdnkE3untzBy,2:22:33,꼼빠니아 겨울원피스,20180207
BrkKr2uXr9F84qgYb8117,2:22:33,스탠드에어컨,20180207
uGPM0NTIG4r3SskXiL6cy,2:22:33,강강술래la갈비,20180207
HDrj4sRd6fgQaQ2TWBjTe,2:22:33,커피,20180207
T2esIlVCgDi46Z75QLzAh,2:22:34,리얼베리어,20180207
DIaoQENDTgO9WrDt7DVne,2:22:34,여성야상,20180207
iktIVocpHLCv9JXyXeoLF,2:22:34,dpc핑크아우라쿠션,20180207
YcuE9Mi9YpBTpEvpW8UtC,2:22:34,누페이스,20180207
9GHZgAoJKpFCZLjfX6fle,2:22:34,메이크업포에버,20180207
F0ofvO5vPMzZRfMxkvd8M,2:21:42,지인창호,20180207
Ar6KD1WZmpWC56E3fkJ4L,2:21:41,겨울원피스,20180207
bRCxupitgz0OwmNhQbrs1,2:21:41,리버시블코트,20180207
fBFoC5RbrWBN5IRJQrhxa,2:21:42,청소기,20180207
tomXvBJi0vytpfF7NSR4z,2:21:42,아디코트bw0747,20180207
ntBnOReAQcfEhUmSd2FMo,2:21:42,역시즌구스다운,20180207
YFWjSs1yZ0DC3FTP9ohkh,2:21:42,러브캣가방크로스백,20180207
lTLVNrqR7RyGT4AOpqKbN,2:21:42,써스데이아일랜드,20180207
8ZyRIYJXJhCDTdDQpfVZv,2:21:42,가죽퍼베스트,20180207
Id0HQs7C87EFFVhKeL8BD,2:21:43,스기노이,20180207
