Survived,Pclass,Age,Sex,Fare,Cabin,Embarked,Name_Grade,Family_size
0,3,38.8,male,7.55,0,S,4,1
1,3,25.4,male,56.4958,0,S,4,2
1,3,25.4,male,56.4958,0,S,4,2
0,3,27.05,male,56.4958,0,S,4,1
0,2,23.775,male,15.05,0,C,4,1
1,2,36.9,male,13.8625,0,C,4,2
0,3,21.75,male,69.55,0,S,4,9
0,3,21.75,male,69.55,0,S,4,9
0,3,6.068333333,male,69.55,0,S,5,9
0,3,15.9,female,69.55,0,S,6,9
0,3,15.9,female,69.55,0,S,6,9
0,3,21.75,male,69.55,0,S,4,9
0,3,33.07713552,male,8.05,0,S,4,1
0,3,34.11630952,male,7.225,0,C,4,1
1,3,21.7,female,7.2292,0,C,2,2
0,3,27.15,male,14.4583,0,C,4,1
0,3,30.82583333,male,7.2292,0,C,4,1
0,3,30.82583333,male,7.2292,0,C,4,1
0,3,34.11630952,male,7.225,0,C,4,1
1,3,21.9,female,7.225,0,C,2,2
1,3,7.542,male,15.2458,0,C,5,3
1,3,7.542,male,15.2458,0,C,5,3
0,3,24.5,male,21.6792,0,C,4,3
0,3,14.95,female,14.4542,0,C,6,2
1,3,3,female,22.3583,1,C,6,3
1,3,29.6,female,22.3583,0,C,2,2
0,3,30.82583333,male,7.2292,0,C,4,1
0,3,34.11630952,male,7.225,0,C,4,1
1,3,20.2,male,7.2292,0,C,4,2
0,3,30.82583333,male,7.2292,0,C,4,1
0,3,24.2,female,14.4583,0,C,2,2
0,3,30.82583333,male,7.2292,0,C,4,1
0,3,33.07713552,male,8.05,0,S,4,1
0,3,33.07713552,male,8.05,0,S,4,1
0,3,33.07713552,male,8.05,0,S,4,1
0,3,26.87444444,male,8.7125,0,C,4,1
0,3,6.3,male,25.4667,0,S,5,4
0,3,5.233333333,female,25.4667,0,S,6,4
0,3,37.53333333,male,15.1,0,S,4,1
0,3,32.1,male,23.45,0,S,4,2
0,3,8.1,female,23.45,0,S,6,2
0,3,32.6,female,7.55,0,S,6,1
1,3,19.62,female,7.75,0,Q,6,2
1,1,33.2,male,29.7,1,C,4,2
0,3,40.4025,male,7.75,0,Q,4,1
1,3,19.62,female,7.75,0,Q,6,2
1,3,19.62,female,7.75,0,Q,6,2
1,3,19.62,female,7.75,0,Q,6,2
1,1,74.7,male,30,1,S,4,2
1,1,28,female,110.8833,0,C,6,2
1,1,43.4,female,89.1042,1,C,2,3
1,1,42.25,female,51.8625,1,S,2,3
0,1,29.7,male,221.7792,1,S,4,1
1,1,51.9,female,79.2,0,C,2,2
0,1,59.3,male,30.6958,0,C,4,1
1,1,49.8,female,82.1708,0,C,2,3
0,1,55.425,male,27.7208,0,C,4,1
1,1,43,female,133.65,0,S,2,3
0,1,31.7,male,227.525,0,C,4,1
1,1,30.1,male,35.5,1,S,4,2
1,1,56.7,male,30.5,1,S,4,2
1,1,42.25,female,52,1,S,2,3
0,3,33.07713552,male,8.05,0,S,4,1
0,3,32.90406746,male,7.25,0,S,4,1
1,3,16.6,female,7.7333,0,Q,6,2
0,3,35.66666667,male,15.5,0,Q,4,1
0,3,27.7075,male,7.7375,0,Q,4,1
1,3,16.6,female,7.7375,0,Q,6,2
0,3,33.07713552,male,8.05,0,S,4,1
0,3,17.6,male,19.9667,0,S,4,2
0,3,17.6,male,19.9667,0,S,4,2
1,3,20.97380952,male,8.1125,0,S,4,2
0,1,39.8,male,52,1,S,4,1
1,1,42.11666667,male,26.55,0,S,4,2
0,1,39.47333333,male,0,1,S,4,1
0,1,49.9,male,39.6,0,C,1,1
0,1,63.31,male,26.55,1,S,4,1
0,1,55,male,26,1,S,4,1
1,1,38.7,female,55,1,S,2,2
0,1,58.5,male,35,1,S,4,1
0,1,36.3,male,50,1,S,4,1
0,1,41.9,male,42.4,0,S,4,1
0,1,57.8,male,31,0,S,4,1
0,2,32.49031746,male,0,0,S,4,1
0,2,32.49031746,male,0,0,S,4,1
0,2,32.49031746,male,0,0,S,4,1
0,2,32.49031746,male,0,0,S,4,1
0,2,32.49031746,male,0,0,S,4,1
1,2,12.1,female,33,0,S,6,2
